Código,Nome,Volume,Última (R$),Variação
MGLU3,Magazine Luiza,152.501.900,3,88,+2,65%
HAPV3,Hapvida,138.906.000,2,68,+1,13%
AMER3,Americanas,131.752.900,1,20,+16,50%
VIIA3,Via,93.763.200,2,03,+0,00%
B3SA3,B3,91.951.300,11,86,+1,98%
PETR4,Petrobras,71.563.400,25,85,+0,74%
BBAS3,Banco do Brasil,63.971.600,42,72,+6,96%
BBDC4,Banco Bradesco,63.610.500,13,80,-0,50%
ITUB4,Itaú Unibanco,41.827.200,25,64,+0,67%
COGN3,Cogna,40.264.000,2,00,+1,52%
ABEV3,Ambev,38.015.500,14,76,-0,14%
CIEL3,Cielo,37.331.600,4,93,+0,82%
LREN3,Lojas Renner,34.929.000,17,19,+1,72%
VALE3,Vale,32.702.000,80,60,-2,14%
RAIZ4,Raízen,32.341.500,3,06,+0,00%
CVCB3,CVC,30.915.700,3,27,+3,15%
ITSA4,Itaúsa,29.440.500,8,59,+2,02%
CMIG4,CEMIG,25.422.000,12,47,+3,23%
CASH3,Méliuz,24.270.900,0,93,+1,09%
CPLE6,COPEL,22.820.100,7,63,+2,97%
NTCO3,Natura,22.512.100,11,70,-1,02%
ASAI3,Assaí,21.392.400,14,44,-1,84%
AMAR3,Lojas Marisa,20.614.200,0,71,+9,23%
AZUL4,Azul,20.353.500,12,15,-1,06%
OIBR3,Oi,19.721.300,1,16,+7,41%
RENT3,Localiza,18.530.300,57,50,+1,23%
RADL3,RaiaDrogasil,18.142.200,26,16,+2,99%
GOLL4,GOL,17.662.200,7,05,-0,84%
ANIM3,Ânima Educação,17.307.300,2,42,+0,00%
PETR3,Petrobras,16.556.500,29,04,+0,07%
CSAN3,Cosan,15.681.500,15,91,+1,79%
ELET3,Eletrobras,15.532.100,35,14,+2,60%
CCRO3,Grupo CCR,15.100.000,13,19,+1,77%
BRFS3,BRF,14.991.800,6,81,+0,74%
MRFG3,Marfrig,14.812.100,6,81,+0,89%
GOAU4,Metalúrgica Gerdau,14.709.400,11,97,-1,64%
BEEF3,Minerva,14.235.100,10,05,+1,11%
RAIL3,Rumo,13.470.500,19,32,+1,47%
GGBR4,Gerdau,13.118.100,25,67,-0,96%
PETZ3,Petz,13.056.500,6,20,+3,68%
STBP3,Santos Brasil,12.856.200,8,86,+3,50%
MRVE3,MRV,12.748.000,7,17,+0,99%
EQTL3,Equatorial Energia,12.517.300,28,53,+1,67%
PRIO3,PetroRio,12.343.500,36,43,+1,96%
POMO4,Marcopolo,11.873.800,3,41,+1,19%
ENEV3,Eneva,11.843.600,11,39,+1,52%
CRFB3,Carrefour Brasil,11.638.200,11,53,-3,60%
UGPA3,Ultrapar,11.504.900,14,89,+1,09%
USIM5,Usiminas,11.305.800,7,66,-0,91%
SOMA3,Grupo Soma,11.247.400,8,40,+0,24%
JBSS3,JBS,11.107.300,17,42,-0,46%
ECOR3,EcoRodovias,11.007.000,6,42,+7,54%
VBBR3,Vibra Energia,10.745.000,14,60,+0,41%
TIMS3,TIM,10.287.300,13,15,+1,15%
BBDC3,Banco Bradesco,10.059.600,12,27,+0,66%
CYRE3,Cyrela,9.785.000,15,82,+3,81%
EMBR3,Embraer,9.621.600,20,21,-1,41%
MLAS3,Multilaser,9.434.900,1,84,+15,72%
WEGE3,WEG,9.399.700,39,74,+1,66%
RRRP3,3R Petroleum,9.206.000,32,19,+2,26%
RDOR3,Rede D'Or,9.202.800,23,70,+1,46%
LWSA3,Locaweb,9.153.600,5,38,+2,67%
ALPA4,Alpargatas,8.906.000,8,17,-0,73%
LIGT3,Light,8.411.900,2,13,+0,95%
MULT3,Multiplan,8.201.300,25,95,+0,46%
CMIN3,CSN Mineração,7.840.100,4,94,+2,49%
TOTS3,Totvs,7.809.800,28,40,+0,71%
CSNA3,Siderúrgica Nacional,7.704.800,16,03,-0,87%
MOVI3,Movida,7.629.100,8,53,+4,79%
LJQQ3,Lojas Quero-Quero,7.599.700,4,39,+5,02%
QUAL3,Qualicorp,7.510.700,3,94,+0,00%
AERI3,Aeris,7.323.000,1,38,+9,52%
SIMH3,Simpar,7.307.600,8,01,+2,30%
BBSE3,BB Seguridade,7.290.200,35,37,+1,14%
ELET6,Eletrobras,7.113.500,38,72,+3,25%
SEQL3,Sequoia Logística,6.958.200,1,87,+3,89%
DXCO3,Dexco,6.737.100,6,15,+1,99%
HBSA3,Hidrovias do Brasil,6.702.100,2,28,+0,88%
HYPE3,Hypera,6.459.100,37,83,-0,21%
VAMO3,Grupo Vamos,6.434.300,13,85,+2,21%
GMAT3,Grupo Mateus,6.387.000,5,90,+0,00%
KLBN4,Klabin,6.354.800,3,77,+0,80%
SUZB3,Suzano,6.313.400,42,20,-0,82%
CBAV3,CBA,6.268.100,6,23,-1,42%
CXSE3,Caixa Seguridade,6.139.300,9,82,+3,48%
ALSO3,Aliansce Sonae,5.026.800,18,35,+0,33%
BPAN4,Banco Pan,4.602.200,5,47,+4,19%
TEND3,Construtora Tenda,4.270.300,5,06,+4,55%
CPLE3,COPEL,4.257.800,6,81,+3,18%
RAPT4,Randon,4.207.200,7,62,+0,40%
ODPV3,Odontoprev,4.206.100,10,81,+0,37%
CEAB3,C&A,4.183.900,3,06,+3,73%
ESPA3,Espaçolaser,4.179.800,1,10,+1,85%
EZTC3,EZTEC,4.117.400,14,69,+3,31%
VIVR3,Viver,4.033.700,0,35,+0,00%
SAPR4,Sanepar,3.933.800,3,80,+3,54%
ENBR3,EDP Brasil,3.811.400,21,93,-1,84%
YDUQ3,YDUQS,3.655.800,8,11,+1,50%
VIVA3,Vivara,3.646.800,22,51,+1,86%
FLRY3,Fleury,3.616.000,14,73,+1,38%
RECV3,PetroRecôncavo,3.594.500,21,99,+2,37%
SBFG3,Grupo SBF,3.558.800,8,47,+3,04%
INEP3,Inepar,3.421.600,1,17,+8,33%
TRPL4,Transmissão Paulista,3.299.100,22,60,+0,85%
DIRR3,Direcional,3.197.600,16,87,-0,76%
VIVT3,Vivo,3.132.500,40,38,+0,50%
ZAMP3,BK Brasil,3.084.300,4,31,+2,13%
JHSF3,JHSF,3.044.600,3,95,-0,25%
BRAP4,Bradespar,2.828.100,27,11,-1,02%
SBSP3,Sabesp,2.710.200,51,37,+0,73%
POSI3,Positivo,2.582.100,7,92,+5,60%
INTB3,Intelbras,2.509.400,24,80,+2,18%
PCAR3,Grupo Pão de Açúcar,2.483.000,15,09,-1,05%
SMFT3,Smart Fit,2.322.400,14,27,+1,35%
AESB3,AES Brasil,2.254.100,10,18,+0,89%
ARZZ3,Arezzo,2.243.900,68,91,-0,13%
BRKM5,Braskem,2.238.900,20,45,-1,59%
BRSR6,Banrisul,2.235.600,10,24,+1,99%
EGIE3,ENGIE,2.215.700,40,33,+1,23%
GUAR3,Guararapes,2.160.200,4,54,+3,65%
CSMG3,COPASA,2.147.900,16,25,-1,93%
MILS3,Mills,1.973.400,9,16,-1,29%
CPFE3,CPFL Energia,1.971.300,33,58,+1,27%
MODL3,Banco Modal,1.891.500,1,73,+4,22%
GRND3,Grendene,1.883.000,7,58,+0,93%
IRBR3,IRB Brasil RE,1.834.500,23,21,+2,25%
SMTO3,São Martinho,1.779.700,29,34,+0,65%
NEOE3,Neoenergia,1.771.000,15,43,+1,11%
MDIA3,M. Dias Branco,1.761.300,27,36,+0,44%
NINJ3,GetNinjas,1.698.200,2,42,+7,56%
MYPK3,Iochpe-Maxion,1.688.600,12,17,-0,57%
AMBP3,Ambipar,1.669.200,22,64,+3,10%
KEPL3,Kepler Weber,1.616.400,8,80,-2,98%
GGPS3,GPS,1.505.600,12,41,-0,32%
TRAD3,Traders Club,1.480.000,1,05,+2,94%
CURY3,Cury,1.449.800,13,29,+1,45%
PSSA3,Porto Seguro,1.438.800,23,84,+0,51%
ENJU3,Enjoei,1.432.400,0,91,+3,41%
NGRD3,Neogrid,1.402.900,1,28,+6,67%
ENAT3,Enauta,1.375.500,12,21,+2,43%
CAML3,Camil Alimentos,1.374.100,7,43,-0,93%
ONCO3,Oncoclínicas,1.331.100,8,80,+1,15%
TRIS3,Trisul,1.314.000,3,31,+3,44%
PTBL3,Portobello,1.308.300,6,34,+3,26%
RCSL3,Recrusul,1.307.200,4,82,+7,11%
SYNE3,SYN,1.142.700,3,47,+17,23%
PLPL3,Plano&Plano,1.140.600,6,35,+2,92%
MEAL3,IMC Alimentação,1.093.000,2,18,+1,40%
TUPY3,Tupy,1.081.100,23,60,-2,52%
GFSA3,Gafisa,1.077.800,5,75,+0,88%
RANI3,Irani,1.056.700,8,69,-1,92%
TTEN3,3tentos,1.018.600,11,83,-0,59%
SLCE3,SLC Agrícola,1.003.700,45,81,-1,02%
HBOR3,Helbor,951.300,2,20,+2,80%
TASA4,Taurus,932.700,16,82,+1,94%
SEER3,Ser Educacional,911.200,3,14,+0,64%
IFCM3,Infracommerce,890.500,1,94,+8,99%
LUPA3,Lupatech,885.500,3,86,+1,85%
AZEV4,Azevedo & Travassos,861.500,1,28,+2,40%
BMGB4,Banco BMG,847.000,2,05,+0,99%
KLBN3,Klabin,845.900,3,78,+1,34%
PNVL3,Dimed,836.700,10,03,+2,45%
EVEN3,Even,827.000,4,64,+1,09%
PGMN3,Pague Menos,826.000,3,22,+2,22%
AGRO3,BrasilAgro,816.700,24,89,+2,22%
CLSA3,ClearSale,812.900,5,99,+2,57%
RCSL4,Recrusul,806.800,0,61,+3,39%
WIZC3,Wiz Soluções,778.500,5,82,+0,17%
SQIA3,Sinqia,774.200,16,05,+0,88%
BOAS3,Boa Vista,762.100,7,72,+0,13%
ROMI3,Indústrias ROMI,754.300,15,76,+0,57%
INEP4,Inepar,707.300,0,86,+6,17%
POMO3,Marcopolo,706.100,2,72,+3,82%
DASA3,Dasa,701.100,8,38,-1,99%
ABCB4,Banco ABC Brasil,673.800,16,77,+1,21%
VVEO3,Viveo,659.800,16,88,+5,50%
JALL3,Jalles Machado,618.200,7,15,+0,00%
ITUB3,Itaú Unibanco,600.400,21,82,+1,02%
TAEE4,Taesa,583.200,11,53,+1,86%
MTRE3,Mitre Realty,583.200,3,72,+6,29%
LPSB3,Lopes,573.900,1,56,+0,65%
CSED3,Cruzeiro do Sul Educacional,563.100,2,31,+8,96%
MBLY3,Mobly,541.200,1,85,+0,54%
TECN3,Technos,538.100,3,13,+2,96%
SHUL4,Schulz,531.400,4,38,-1,13%
ALPK3,Estapar,503.000,1,25,+4,17%
COCE5,Coelce,488.900,48,19,+2,71%
VLID3,Valid,487.400,10,08,+0,80%
JSLG3,JSL,483.800,7,02,+3,24%
BRIT3,Brisanet,469.300,2,18,+4,81%
LOGG3,LOG CP,463.800,16,66,+0,79%
ETER3,Eternit,455.200,9,69,+2,43%
LAVV3,Lavvi Incorporadora,449.400,5,33,+1,14%
PARD3,Hermes Pardini,427.300,20,44,+2,56%
VULC3,Vulcabras,406.900,12,39,+2,48%
FRAS3,Fras-le,406.000,9,25,-1,49%
MATD3,Mater Dei,406.000,8,10,-0,12%
PORT3,Wilson Sons,379.500,10,11,-0,98%
AALR3,Alliar,375.800,22,75,+0,00%
SAPR3,Sanepar,374.600,3,68,+3,66%
PINE4,PINE,358.200,1,64,-1,80%
ORVR3,Orizon,355.600,37,27,-1,35%
TGMA3,Tegma,355.200,19,10,+3,47%
ARML3,Armac,348.200,12,25,+2,94%
SGPS3,SPRINGS,328.500,0,93,+1,09%
UNIP6,Unipar,321.000,71,36,-1,30%
BMOB3,Bemobi,300.700,14,10,+1,29%
SHOW3,Time For Fun,288.600,1,60,-0,62%
TPIS3,Triunfo,273.100,0,84,+3,70%
DEXP3,Dexxos,271.800,7,97,+1,53%
BLAU3,Blau Farmacêutica,268.800,24,26,+1,51%
CMIG3,CEMIG,266.500,19,17,+4,93%
LEVE3,Mahle Metal Leve,266.200,30,58,-2,33%
VITT3,Vittia,249.000,11,45,+0,62%
USIM3,Usiminas,238.900,8,10,-0,61%
OPCT3,OceanPact,232.400,2,85,+0,35%
SOJA3,Boa Safra Sementes,229.500,11,45,-1,29%
PDGR3,PDG Realty,229.200,3,44,-1,71%
KRSA3,Kora Saúde,217.600,1,04,-2,80%
ELMD3,Eletromidia,215.400,16,25,-4,24%
HBRE3,HBR Realty,208.500,3,82,+1,87%
TFCO4,Track & Field,207.200,10,64,+0,38%
ITSA3,Itaúsa,207.100,8,67,+1,76%
TAEE3,Taesa,197.900,11,55,+2,03%
FESA4,Ferbasa,196.000,53,82,-3,72%
MDNE3,Moura Dubeux,195.900,5,42,+3,24%
PFRM3,Profarma,193.800,3,06,-0,33%
MELK3,Melnick,181.900,3,10,+2,99%
FIQE3,Unifique,180.300,3,50,+1,45%
PRNR3,PRINER,178.800,8,09,+4,79%
WEST3,Westwing,169.400,1,05,-2,78%
LOGN3,Log-In,163.100,39,54,+2,86%
SANB3,Banco Santander,161.900,12,75,+1,76%
CSUD3,CSU Cardsystem,159.000,10,51,+3,75%
CTSA4,Santanense,155.300,1,00,+3,09%
DOTZ3,Dotz,141.400,0,79,+0,00%
AZEV3,Azevedo & Travassos,138.900,1,41,+2,92%
TCSA3,Tecnisa,135.500,3,00,-0,99%
SANB4,Banco Santander,132.700,14,60,+1,25%
CEDO4,Cedro Têxtil,132.600,3,20,-1,54%
GOAU3,Metalúrgica Gerdau,127.800,11,18,-1,24%
RSID3,Rossi Residencial,118.400,2,99,+4,55%
BRPR3,BR Properties,117.700,63,79,+1,05%
IGTI3,Jereissati Participações,116.100,2,54,+1,20%
IGTI3,Iguatemi,116.100,2,54,+1,20%
DESK3,Desktop,109.600,8,73,+0,92%
PMAM3,Paranapanema,107.800,3,80,+5,85%
LVTC3,WDC Networks,97.300,6,14,+9,64%
OSXB3,OSX BRASIL,82.500,5,10,+2,00%
FHER3,Fertilizantes Heringer,77.700,13,32,-1,41%
OIBR4,Oi,72.900,2,60,+2,77%
TASA3,Taurus,59.200,16,54,+1,66%
BAHI3,Bahema,57.500,12,00,+50,75%
RNEW3,Renova Energia,54.000,1,52,-0,65%
PDTC3,Padtec,49.300,2,08,-0,95%
